Ενώτιο,ΑΦΜ,Ονομα,Είδος,Στο μητρώο,Σχόλια,Πλήθος
62037570063,127137474,Pappas1,Προβατίνα,NAI,,
62037570065,127137474,Pappas1,Προβατίνα,NAI,,
62037570066,127137474,Pappas1,Προβατίνα,NAI,,
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΝΑΙ,<2010,1
ΣΥΜΒΑΤΙΚΑ,127137474,Pappas1,Προβατίνα,ΝΑΙ,ΜΟΝ,1
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Καταμετρηθέντα,,,5
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Χωρίς σήμανση,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,< 6 μηνών χωρίς σήμανση,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Χωρίς ηλ. Σήμανση,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Με σήμανση που δεν αναγράφονται στο μητρώο,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Μονό ενώτιο,,,1
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Προβατίνα,,,5
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Κριοί-Τράγοι,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Γίδα,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Ιπποειδή,,,0
ΑΠΟΤΕΛΕΣΜΑ,127137474,Pappas1,Αμνοερίφια,,,0
